id_aluno,evasao,sexo,idade,etapa_ensino,renda_familiar,nivel_socioeconomico,frequencia_escolar,notas_medias,repetente,trabalha,trabalho_domestico_excessivo,problemas_de_saude,violencia_domestica,gravidez_na_adolescencia,apoio_familiar,comportamento_em_sala,aceitacao_pelos_pares,necessita_assistencia_social,expectativa_retorno,fator_desencadeador_presente,distancia_da_escola_km,violencia_na_comunidade,engajamento_com_a_escola,infraestrutura_escolar,disponibilidade_material_didatico,flexibilidade_pedagogica,qualidade_pedagogica_percebida,pontuacao_risco,evasao_confirmada
1,False,Feminino,17,5º ano,656.9,N7,67.6,7.5,True,False,False,True,False,False,Alto,Ruim,Baixa,False,Média,False,1.3,False,Moderado,Boa,Parcial,Alta,Boa,0.4005297233666863,True
2,False,Feminino,18,9º ano,970.98,N3,98.0,7.1,True,False,False,False,False,False,Alto,Ruim,Alta,False,Alta,False,1.9,False,Baixo,Boa,Completa,Baixa,Regular,0.2839905826957034,False
3,True,Feminino,14,6º ano,828.49,N4,95.0,7.2,False,True,False,False,False,False,Alto,Bom,Baixa,True,Alta,False,3.1,False,Alto,Boa,Completa,Baixa,Regular,0.29281930547380813,False
4,True,Feminino,10,2ª série EM,1394.62,N3,86.9,7.4,False,False,True,False,False,False,Alto,Regular,Média,False,Alta,False,0.1,False,Alto,Boa,Completa,Média,Regular,0.17260153031194814,False
5,False,Feminino,10,8º ano,1300.38,N2,78.2,5.9,False,False,False,False,False,False,Médio,Bom,Baixa,False,Alta,True,3.1,False,Alto,Regular,Completa,Baixa,Regular,0.27722189523248963,False
6,True,Feminino,11,3ª série EM,512.39,N4,58.3,6.9,False,True,False,True,False,False,Alto,Bom,Média,False,Alta,False,0.9,False,Alto,Ruim,Parcial,Baixa,Boa,0.46806945261918786,True
7,False,Feminino,10,1ª série EM,349.16,N7,78.1,7.0,False,True,False,False,False,False,Médio,Bom,Baixa,False,Média,False,2.1,False,Alto,Regular,Completa,Média,Boa,0.37625073572689827,True
8,True,Feminino,14,3ª série EM,499.86,N2,64.0,5.7,False,False,False,True,False,False,Baixo,Ruim,Alta,True,Baixa,False,2.3,False,Moderado,Ruim,Parcial,Média,Boa,0.3487345497351383,True
9,False,Masculino,17,6º ano,561.47,N5,53.8,5.8,False,False,False,False,False,False,Alto,Bom,Alta,False,Média,False,2.6,False,Moderado,Boa,Completa,Média,Ruim,0.3893466745144203,True
10,False,Masculino,14,9º ano,336.03,N1,90.5,6.9,False,False,False,False,False,False,Médio,Regular,Alta,False,Média,False,2.0,False,Alto,Regular,Insuficiente,Média,Regular,0.17878163625662152,False
11,False,Masculino,18,1ª série EM,740.51,N4,53.4,5.9,False,False,False,True,False,False,Baixo,Bom,Alta,False,Alta,False,1.7,False,Moderado,Boa,Completa,Alta,Boa,0.3866980576809888,False
12,False,Masculino,17,3ª série EM,1165.44,N6,87.1,6.2,False,False,False,False,False,False,Médio,Ruim,Alta,False,Média,False,1.5,False,Moderado,Ruim,Parcial,Baixa,Regular,0.22469099470276635,False
13,True,Feminino,20,5º ano,477.61,N6,74.3,4.8,True,False,False,False,False,False,Baixo,Ruim,Alta,False,Média,False,2.0,True,Moderado,Regular,Completa,Alta,Ruim,0.4901412595644497,False
14,False,Masculino,11,1ª série EM,1677.88,N6,51.6,7.4,True,False,False,False,False,False,Médio,Regular,Baixa,False,Média,False,1.8,False,Alto,Boa,Completa,Baixa,Regular,0.4755738669805768,False
15,True,Masculino,21,8º ano,458.87,N1,64.8,7.3,False,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,2.1,False,Moderado,Boa,Completa,Alta,Ruim,0.2745732783990583,False
16,True,Feminino,16,9º ano,1316.54,N4,94.0,4.8,False,False,False,False,False,False,Baixo,Regular,Média,True,Alta,False,0.9,False,Alto,Regular,Completa,Baixa,Ruim,0.25603296056503827,True
17,True,Feminino,14,1ª série EM,867.23,N2,53.3,5.6,True,False,False,False,False,False,Alto,Bom,Baixa,True,Alta,False,2.3,False,Alto,Regular,Completa,Alta,Ruim,0.5475279576221307,False
18,False,Feminino,22,7º ano,803.7,N6,79.5,6.9,False,False,False,False,False,False,Baixo,Bom,Baixa,False,Média,False,3.3,False,Alto,Boa,Completa,Baixa,Ruim,0.22733961153619772,False
19,False,Feminino,10,3ª série EM,782.83,N4,79.9,4.8,True,False,False,False,False,False,Baixo,Ruim,Alta,False,Alta,False,3.8,False,Alto,Regular,Completa,Baixa,Ruim,0.4654208357857564,False
20,True,Feminino,14,8º ano,487.84,N7,71.6,8.9,False,False,True,False,False,False,Alto,Bom,Alta,True,Alta,False,0.4,False,Moderado,Boa,Completa,Alta,Ruim,0.17392583872866393,False
21,True,Feminino,17,1ª série EM,479.63,N2,91.9,6.4,False,True,False,True,False,False,Baixo,Bom,Média,False,Média,False,1.0,False,Baixo,Boa,Completa,Média,Ruim,0.34181871689228954,False
22,True,Masculino,17,3ª série EM,1538.92,N3,89.0,6.9,False,False,False,False,False,False,Médio,Ruim,Baixa,False,Alta,False,2.2,False,Moderado,Boa,Completa,Média,Ruim,0.18540317834020012,False
