id_aluno,etapa_ensino,evasao,sexo,idade,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,distancia_da_escola_km,trabalha,trabalho_domestico_excessivo,problemas_de_saude,violencia_domestica,gravidez_na_adolescencia,apoio_familiar,comportamento_em_sala,aceitacao_pelos_pares,necessita_assistencia_social,expectativa_retorno,fator_desencadeador_presente,violencia_na_comunidade,engajamento_com_a_escola,infraestrutura_escolar,disponibilidade_material_didatico,flexibilidade_pedagogica,qualidade_pedagogica_percebida,pontuacao_risco,evasao_confirmada
1,5° EF,False,Masculino,7,False,True,False,False,Preta,Rural,Aprovado,False,82.3,9.4,Baixo,6884.11,0.5,False,True,False,False,False,Baixo,Bom,Média,False,Alta,False,False,Moderado,Regular,Parcial,Alta,Boa,0.11697926949654493,False
2,3° EM,True,Feminino,14,False,False,False,False,Parda,Urbana,Evadido,False,68.1,5.3,Médio,2349.27,1.9,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,True,Baixo,Regular,Insuficiente,Alta,Boa,0.38943731490621925,False
3,9° EF,False,Masculino,7,False,True,False,False,Não declarada,Urbana,Reprovado,False,97.1,1.3,Médio,1903.12,2.4,False,False,False,False,False,Médio,Bom,Alta,False,Média,False,False,Alto,Boa,Completa,Alta,Regular,0.4437314906219152,False
4,8° EF,False,Masculino,13,True,True,False,False,Branca,Urbana,Evadido,False,81.9,5.8,Alto,8497.65,0.8,False,False,False,False,False,Médio,Ruim,Alta,False,Alta,True,False,Moderado,Ruim,Completa,Média,Ruim,0.29664363277393885,True
5,2° EF,False,Masculino,16,False,True,True,False,Parda,Urbana,Aprovado,False,82.6,7.2,Médio,5673.42,3.1,False,True,False,False,False,Baixo,Regular,Média,True,Baixa,False,False,Moderado,Regular,Completa,Alta,Regular,0.22408687068114513,False
6,2° EF,False,Feminino,17,False,True,False,False,Branca,Urbana,Aprovado,False,93.6,2.0,Médio,4040.4,1.9,False,False,False,False,False,Médio,Ruim,Baixa,True,Alta,False,False,Alto,Ruim,Completa,Alta,Boa,0.4264560710760119,False
7,1° EF,False,Feminino,15,False,True,False,False,Parda,Rural,Reprovado,True,86.9,7.6,Médio,7173.4,2.1,False,False,False,False,False,Alto,Ruim,Alta,True,Alta,False,False,Moderado,Boa,Parcial,Média,Regular,0.3476472523856532,False
8,2° EM,False,Feminino,13,False,True,True,False,Indígena,Urbana,Em andamento,False,93.9,7.8,Muito baixo,3192.1,1.7,False,False,False,False,False,Baixo,Regular,Alta,True,Média,False,False,Alto,Boa,Completa,Média,Regular,0.1386969397828233,False
9,8° EF,False,Feminino,12,True,True,True,False,Amarela,Rural,Aprovado,False,74.0,9.7,Médio,6670.7,2.8,False,False,False,False,False,Alto,Bom,Média,True,Baixa,False,True,Moderado,Ruim,Parcial,Alta,Boa,0.14313919052319848,False
10,9° EF,False,Masculino,10,True,True,True,False,Parda,Rural,Reprovado,False,87.7,5.5,Muito baixo,1456.13,2.8,False,False,False,False,False,Baixo,Bom,Alta,False,Média,False,False,Alto,Ruim,Completa,Alta,Ruim,0.2828232971372162,False
