id_aluno,etapa_ensino,evasao,idade,sexo,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,distancia_da_escola_km,trabalha,problemas_de_saude,gravidez_na_adolescencia,necessita_assistencia_social,infraestrutura_escolar,pontuacao_risco,evasao_confirmada
1,5° EF,False,19,Feminino,True,True,True,False,Branca,Urbana,Reprovado,False,78.8,1.5,Alto,8229.51,1.3,False,True,False,False,Boa,0.749470712773465,True
2,3° EM,True,16,Feminino,True,True,True,False,Branca,Urbana,Evadido,False,61.9,1.9,Médio,1079.17,3.4,False,False,False,True,Regular,0.8405081157374733,True
3,9° EF,False,7,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,78.1,5.5,Baixo,1553.42,1.3,False,True,True,False,Regular,0.4721242060691602,False
4,8° EF,False,14,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,87.4,6.3,Alto,8475.09,1.2,False,False,False,False,Regular,0.3500352858151023,False
5,2° EF,False,8,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,96.6,8.6,Baixo,4618.93,1.9,False,False,False,False,Regular,0.1227946365561045,False
6,2° EF,False,17,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,83.6,8.6,Muito alto,2071.16,1.6,False,False,False,False,Boa,0.21453775582215956,False
7,1° EF,False,9,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,86.7,7.6,Médio,4004.43,2.9,False,False,False,True,Regular,0.2632321806633733,False
8,2° EM,False,19,Feminino,False,False,True,False,Parda,Urbana,Aprovado,False,70.9,8.6,Médio,7377.82,2.6,True,False,False,True,Boa,0.3041637261820747,False
9,8° EF,False,8,Masculino,True,True,True,False,Preta,Urbana,Aprovado,False,90.1,8.7,Muito baixo,5757.88,2.1,True,False,False,False,Regular,0.1616090331686663,False
10,9° EF,False,15,Masculino,False,True,False,False,Parda,Rural,Aprovado,False,84.3,7.1,Médio,8642.98,1.7,False,False,False,False,Regular,0.31545518701482006,False
