id_aluno,etapa_ensino,evasao,idade,sexo,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,distancia_da_escola_km,trabalha,problemas_de_saude,gravidez_na_adolescencia,necessita_assistencia_social,infraestrutura_escolar,evasao_confirmada
1,5° EF,False,19,Feminino,False,True,True,False,Branca,Urbana,Reprovado,False,95.6,2.9,Alto,1557.32,2.1,False,False,False,False,Ruim,False
2,3° EM,True,16,Feminino,True,True,True,False,Branca,Urbana,Evadido,True,74.8,2.6,Médio,10070.2,2.3,False,False,False,True,Regular,True
3,9° EF,False,7,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,80.2,5.7,Baixo,1572.86,2.6,True,False,False,False,Regular,False
4,8° EF,False,14,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,93.0,6.0,Alto,1933.92,2.7,False,False,False,True,Regular,False
5,2° EF,False,8,Masculino,False,True,False,False,Parda,Urbana,Aprovado,False,86.2,8.1,Baixo,1042.38,1.0,False,False,False,False,Regular,False
6,2° EF,False,17,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,90.0,9.0,Muito alto,214.47,5.4,False,False,False,False,Regular,False
7,1° EF,False,9,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,76.6,9.5,Médio,1334.43,0.7,False,False,False,True,Regular,False
8,2° EM,False,19,Feminino,False,False,True,False,Parda,Urbana,Aprovado,False,90.8,9.4,Médio,3898.4,2.7,False,True,False,False,Ruim,False
9,8° EF,False,8,Masculino,True,True,True,False,Preta,Urbana,Aprovado,False,85.2,8.0,Muito baixo,2883.19,1.5,False,False,False,False,Boa,False
10,9° EF,False,15,Masculino,False,True,False,False,Parda,Rural,Aprovado,False,84.2,8.5,Médio,1479.22,2.3,False,False,False,False,Boa,False
11,1° EF,False,8,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,99.3,5.0,Baixo,4124.19,1.4,False,True,False,False,Regular,False
12,3° EM,False,11,Masculino,True,True,True,False,Parda,Urbana,Reprovado,False,86.5,9.6,Alto,1654.69,3.5,False,False,True,True,Boa,False
13,1° EM,True,19,Feminino,True,True,True,False,Branca,Rural,Evadido,False,79.5,1.2,Médio,777.11,1.6,False,False,False,True,Regular,True
14,3° EF,False,18,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,90.7,5.9,Médio,2244.23,3.0,True,False,False,False,Regular,False
15,3° EF,False,10,Masculino,False,True,True,False,Amarela,Rural,Evadido,False,76.5,0.8,Baixo,5392.73,0.1,False,False,True,False,Regular,False
16,3° EF,False,11,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,93.3,9.0,Médio,1451.04,2.1,False,False,False,False,Ruim,False
17,4° EF,False,18,Masculino,False,True,True,False,Preta,Urbana,Aprovado,False,83.9,2.7,Médio,1627.33,0.6,False,False,False,False,Boa,False
18,7° EF,False,18,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,94.5,5.7,Médio,6363.86,2.7,False,False,False,True,Boa,False
19,6° EF,False,10,Feminino,True,True,True,False,Parda,Urbana,Aprovado,True,90.3,2.7,Alto,736.93,2.3,False,False,False,True,Ruim,False
20,4° EF,False,12,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,83.8,0.8,Baixo,675.71,2.5,True,False,False,True,Boa,False
21,8° EF,False,8,Outro,False,True,True,False,Branca,Urbana,Evadido,False,84.7,9.3,Alto,1463.89,1.7,False,False,False,False,Boa,False
22,2° EF,False,7,Masculino,True,True,False,False,Branca,Urbana,Reprovado,False,92.9,7.8,Alto,5345.65,1.7,False,False,False,False,Boa,False
23,4° EF,False,7,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,89.1,3.1,Baixo,1417.99,1.9,False,False,False,False,Boa,False
24,5° EF,False,15,Feminino,True,True,False,False,Branca,Urbana,Reprovado,False,91.6,9.7,Alto,2516.54,0.8,False,False,False,False,Boa,False
25,6° EF,False,11,Masculino,False,True,True,False,Parda,Urbana,Reprovado,False,78.9,5.1,Baixo,1150.25,4.6,False,False,False,False,Regular,False
26,1° EM,False,7,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,94.2,5.8,Baixo,2198.61,1.2,False,False,False,True,Ruim,False
27,3° EF,False,13,Masculino,True,True,True,False,Branca,Urbana,Aprovado,True,83.9,7.4,Médio,1987.2,1.6,True,False,True,False,Regular,False
28,7° EF,False,12,Feminino,False,True,False,False,Parda,Urbana,Aprovado,False,90.5,9.7,Muito baixo,2059.92,2.3,False,False,False,True,Regular,False
