id_aluno,etapa_ensino,idade,sexo,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,distancia_da_escola_km,trabalha,problemas_de_saude,gravidez_na_adolescencia,necessita_assistencia_social,infraestrutura_escolar,evasao_confirmada
1,5° EF,19,Feminino,True,True,True,False,Branca,Urbana,Reprovado,False,78.8,1.5,Alto,8229.51,1.3,False,True,False,False,Boa,False
2,3° EM,16,Feminino,True,True,True,False,Branca,Urbana,Evadido,False,61.9,1.9,Médio,1079.17,3.4,False,False,False,True,Regular,True
3,9° EF,7,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,78.1,5.5,Baixo,1553.42,1.3,False,True,True,False,Regular,False
4,8° EF,14,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,87.4,6.3,Alto,8475.09,1.2,False,False,False,False,Regular,False
5,2° EF,8,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,96.6,8.6,Baixo,4618.93,1.9,False,False,False,False,Regular,False
6,2° EF,17,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,83.6,8.6,Muito alto,2071.16,1.6,False,False,False,False,Boa,False
7,1° EF,9,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,86.7,7.6,Médio,4004.43,2.9,False,False,False,True,Regular,False
8,2° EM,19,Feminino,False,False,True,False,Parda,Urbana,Aprovado,False,70.9,8.6,Médio,7377.82,2.6,True,False,False,True,Boa,False
9,8° EF,8,Masculino,True,True,True,False,Preta,Urbana,Aprovado,False,90.1,8.7,Muito baixo,5757.88,2.1,True,False,False,False,Regular,False
10,9° EF,15,Masculino,False,True,False,False,Parda,Rural,Aprovado,False,84.3,7.1,Médio,8642.98,1.7,False,False,False,False,Regular,False
11,1° EF,8,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,91.6,5.6,Baixo,9019.11,2.3,True,False,False,True,Ruim,False
12,3° EM,11,Masculino,True,True,True,False,Parda,Urbana,Reprovado,False,89.5,9.0,Alto,4057.9,2.4,False,False,False,True,Boa,False
13,1° EM,19,Feminino,True,True,True,False,Branca,Rural,Evadido,False,80.8,1.6,Médio,3015.03,3.1,False,False,False,False,Boa,False
14,3° EF,18,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,93.9,5.8,Médio,8778.24,1.1,False,False,True,True,Boa,False
15,3° EF,10,Masculino,False,True,True,False,Amarela,Rural,Evadido,False,81.6,2.4,Baixo,2751.79,2.9,False,False,False,False,Boa,False
16,3° EF,11,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,88.2,7.5,Médio,8410.86,0.2,False,False,False,False,Ruim,False
17,4° EF,18,Masculino,False,True,True,False,Preta,Urbana,Aprovado,False,89.2,3.4,Médio,2337.16,2.6,False,False,False,False,Boa,False
18,7° EF,18,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,86.6,5.2,Médio,5301.64,2.7,False,False,False,False,Ruim,False
