id_aluno,etapa_ensino,evasao,idade,sexo,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,distancia_da_escola_km,trabalha,problemas_de_saude,gravidez_na_adolescencia,necessita_assistencia_social,infraestrutura_escolar,pontuacao_risco,evasao_confirmada
1,5° EF,False,18,Feminino,False,True,False,False,Parda,Rural,Em andamento,False,93.2,0.2,Médio,7664.92,0.7,False,False,False,True,Regular,0.7517934002869442,True
2,3° EM,True,19,Feminino,False,True,False,False,Parda,Urbana,Evadido,True,86.5,4.1,Muito baixo,496.56,2.4,False,False,False,False,Regular,0.5200860832137735,True
3,9° EF,False,14,Masculino,True,True,True,False,Branca,Urbana,Aprovado,False,87.2,5.5,Baixo,8688.21,2.2,True,True,False,False,Boa,0.41463414634146345,False
4,8° EF,False,15,Masculino,False,True,False,False,Parda,Urbana,Aprovado,False,83.0,7.9,Baixo,7864.79,1.8,False,False,False,True,Regular,0.27259684361549497,True
5,2° EF,False,6,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,83.8,7.7,Baixo,8467.99,2.2,False,False,False,False,Boa,0.28120516499282644,False
6,2° EF,False,19,Masculino,True,True,False,False,Branca,Rural,Em andamento,False,92.2,6.7,Alto,3417.64,0.4,False,False,True,True,Regular,0.2926829268292683,False
7,1° EF,False,18,Feminino,False,True,True,False,Preta,Rural,Aprovado,False,89.4,9.9,Muito alto,3815.84,2.0,False,False,False,False,Boa,0.08321377331420367,True
8,2° EM,False,13,Masculino,False,True,False,False,Branca,Urbana,Em andamento,False,87.7,6.5,Baixo,4887.43,0.1,False,False,False,False,Boa,0.33931133428981347,False
9,8° EF,False,13,Feminino,True,True,True,False,Preta,Urbana,Aprovado,False,80.5,4.1,Médio,2927.58,0.7,False,False,False,False,Ruim,0.5631276901004305,False
10,9° EF,False,6,Feminino,False,True,False,False,Parda,Urbana,Aprovado,False,96.3,8.9,Muito baixo,4851.52,1.0,False,False,False,False,Regular,0.10545193687230989,False
11,1° EF,False,12,Masculino,True,True,True,False,Parda,Rural,Aprovado,False,94.0,6.1,Médio,1212.79,0.2,False,False,False,False,Ruim,0.32281205164992827,True
12,3° EM,False,18,Masculino,False,False,True,False,Branca,Urbana,Aprovado,False,78.2,9.2,Médio,8138.46,1.2,True,False,False,False,Boa,0.2137733142037303,False
13,1° EM,True,11,Masculino,True,True,False,False,Branca,Urbana,Evadido,False,71.6,5.1,Médio,554.75,3.3,True,False,False,False,Boa,0.5552367288378767,False
14,3° EF,False,6,Masculino,False,True,False,True,Parda,Urbana,Aprovado,False,88.9,5.1,Alto,5134.06,3.2,False,True,False,False,Boa,0.4311334289813487,True
15,3° EF,False,6,Feminino,False,True,True,False,Parda,Rural,Aprovado,False,87.0,3.4,Médio,8547.53,1.5,True,False,False,False,Boa,0.5667144906743186,True
16,3° EF,False,11,Masculino,False,True,True,False,Parda,Rural,Aprovado,False,85.7,5.7,Baixo,7687.39,1.3,False,False,False,False,Boa,0.41104734576757535,True
17,4° EF,False,13,Masculino,False,True,False,False,Não declarada,Rural,Em andamento,False,92.7,6.0,Baixo,7329.61,1.9,False,False,False,False,Boa,0.33931133428981347,False
18,7° EF,False,10,Masculino,False,True,False,False,Preta,Urbana,Evadido,False,73.1,9.3,Baixo,5968.31,1.7,True,False,False,False,Regular,0.24318507890961263,False
19,6° EF,False,9,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,87.4,6.2,Baixo,4619.03,1.0,False,False,False,False,Boa,0.36298421807747483,True
20,4° EF,False,17,Feminino,False,True,True,False,Preta,Urbana,Reprovado,True,82.3,9.4,Baixo,4696.9,2.5,False,True,False,False,Ruim,0.17001434720229555,False
21,8° EF,False,19,Masculino,False,False,True,False,Parda,Urbana,Aprovado,False,75.3,2.1,Muito alto,1833.02,1.7,False,False,False,False,Boa,0.7439024390243902,True
22,2° EF,False,6,Masculino,False,True,True,True,Branca,Urbana,Aprovado,False,87.2,1.4,Médio,1656.12,1.3,False,False,False,False,Regular,0.708751793400287,True
23,4° EF,False,6,Feminino,False,True,True,True,Branca,Rural,Evadido,False,79.4,5.5,Alto,7866.5,1.4,False,False,False,False,Regular,0.47058823529411764,True
24,5° EF,False,15,Feminino,False,True,False,False,Não declarada,Urbana,Aprovado,False,82.2,7.4,Muito alto,4398.73,4.4,False,False,True,False,Ruim,0.3142037302725968,False
25,6° EF,False,16,Feminino,False,True,True,False,Parda,Urbana,Evadido,False,88.1,0.2,Alto,1570.22,2.8,False,False,False,False,Ruim,0.7883787661406028,True
26,1° EM,False,12,Feminino,True,True,True,False,Não declarada,Urbana,Aprovado,True,99.1,7.2,Alto,6427.79,1.7,False,True,True,False,Boa,0.20731707317073175,False
27,3° EF,False,17,Feminino,True,True,False,False,Parda,Urbana,Reprovado,False,91.9,7.8,Baixo,6589.28,0.4,False,False,False,True,Ruim,0.21592539454806312,False
28,7° EF,False,14,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,82.8,1.4,Médio,2953.42,0.3,False,False,True,False,Ruim,0.7403156384505023,True
29,8° EF,False,15,Outro,False,False,True,False,Parda,Rural,Em andamento,False,85.4,8.1,Baixo,4415.22,2.1,False,False,False,False,Regular,0.24103299856527977,True
30,1° EF,False,12,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,85.9,6.2,Baixo,5712.92,1.7,False,True,False,False,Boa,0.37374461979913914,True
31,8° EF,False,6,Masculino,False,True,True,False,Parda,Urbana,Reprovado,True,78.7,3.8,Alto,5895.22,0.8,False,False,False,False,Boa,0.5975609756097561,False
32,3° EF,False,15,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,79.0,1.0,Médio,5215.95,1.9,False,False,False,False,Ruim,0.7962697274031565,True
33,1° EF,False,14,Masculino,True,True,True,True,Branca,Urbana,Aprovado,False,78.5,9.3,Médio,4044.16,1.3,False,False,False,False,Ruim,0.2044476327116212,False
34,3° EM,False,10,Feminino,True,True,False,False,Parda,Urbana,Reprovado,False,88.5,7.4,Alto,1688.3,1.4,False,False,False,True,Regular,0.26901004304160686,False
35,3° EM,False,10,Masculino,False,True,False,False,Parda,Urbana,Aprovado,False,91.7,10.0,Baixo,1317.13,1.8,False,False,False,True,Boa,0.05954088952654231,False
36,1° EM,False,7,Masculino,False,True,True,False,Parda,Rural,Aprovado,False,89.9,5.6,Baixo,4804.56,1.0,False,False,False,False,Regular,0.38809182209469156,True
37,4° EF,False,10,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,99.3,6.7,Médio,2758.03,0.6,False,False,False,True,Regular,0.2417503586800574,False
